date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1/1/2018,-3.67,-15.09,3253.98,10135.59,21.51,4.96,322.3,1262.87,262.93,0,68.06,2.94,1089.19,976.94,71.18,798.95,3880642.27,9144498.96,617.7,5314.47,182386.96,579469.87,158643.26,0,41587.72,766.64,107.54,338977.36,927978.66,420062740.1,785016991,1675542.92,8278465,88548306.82,140055960,100060043.6,0,5165144.13,1370879.84,173796798.5,104227619.7,6022488.47,111652067.4
2/1/2018,-4.09,-10.57,2947.4,9041.91,16.25,5.85,250.87,1044.25,201.1,0,60.28,3.43,937,964.36,64.91,668.77,3515952.7,8135880.61,428.79,6218.81,142480.33,478871,117885.01,0,36877.03,767.96,85.88,337975.01,674958.33,282971694.3,665411020.1,1227935.71,2069428.03,38398849.03,95067818.29,36316049.75,0,4310144.61,546607.3,99056227.06,80357972.34,5114231.88,67754367.4
3/1/2018,-3.23,-4.34,2936.13,9470.52,1.85,1.08,192.48,1170.65,134.67,0,68.46,2.57,1114.8,1134.15,73.66,658.26,3495236.44,8524262.74,108.88,1173.84,109176.42,537251.35,77695.59,0,41770.73,754.3,70.43,215035.37,237406.85,222140280.9,620730446.9,157191.27,76655.2,17638887.89,84924199.76,12404603.59,0,4276793.94,246161.62,88419225.04,78977484.7,5007007.28,47440661.06
4/1/2018,-4.16,-21.87,3053.17,8521.6,4.11,1.03,252.43,756.9,325.85,0,61.84,3.33,1403.75,872.94,80.89,559.41,3623719.98,7671541.67,203.69,1252.07,143561.46,348117.9,191731.38,0,37902.64,757.22,75.07,295141.42,1294832.6,228017269.3,601664320.1,290773.35,1017828.98,27977458.64,56122771.62,33664651.48,0,3959071.6,547066.73,115907031.1,61151142.8,6106356.12,43592420.93
5/1/2018,-5.02,-26.34,3214.9,9118.69,2.01,0.42,276.46,647.33,356.56,0,65.12,4.18,1510.16,1215.26,81.91,470.93,3816240.72,8215247.66,113.75,473.74,157644.84,301330.96,209866.46,0,39816.63,752.44,77.19,363442.61,1513605.34,253822487.6,664474653.1,161078.1,63860.38,28112234.65,47276974.32,36692959,0,4227102.28,481997.39,127584230.8,87522635.35,5791873.3,31369207.31
6/1/2018,-3.97,-47.11,3236.59,9371.39,7.89,1.89,365.6,668.17,407.85,0,63.08,3.27,1939.74,1051.07,83.05,430.52,3861114.89,8448411.34,316.46,1838.38,208340.35,304278.81,242663.49,0,38470.92,745.51,95.87,320617.83,2949567.53,304186378.3,850260710.6,671538.25,371634.43,44846863.36,67967394.78,56249152.25,0,5005093.04,509090.49,185220442.9,87386509.56,6502801.39,32756090.67
7/1/2018,-4.07,-14.56,3298.98,9518.78,24.7,2.93,276.26,628,228.83,0,65.16,3.32,1823.36,1622.03,115.66,515.51,3945641.05,8579782.02,700.13,3602.79,158497.5,278640.73,136801.75,0,39681.22,725.96,76.47,145134.8,776850.98,233323321.6,704789146.7,1760886.61,3619108.35,38196075.31,67335339.03,35093420.23,0,4500066.95,629683.22,113877161.5,104269995.7,7535144.94,31766864.35
8/1/2018,-4.41,-36.87,3185.71,8864.12,38.99,1,252.37,722.69,335.17,0,52.58,3.62,1953.11,1636.34,161.2,656.43,3815963.61,7979037.6,1031.91,780.08,144745.79,323009.74,197527.49,0,32120.55,701.05,86.16,178570.64,2323958.87,251611265.3,796120069.5,3233475.43,155906.88,24813587.11,66270381.42,42296366.56,0,4387501.39,359730.11,115800434.9,109828912.3,11587494.39,43351474.47
9/1/2018,-3.91,-89.74,2648.85,8701.83,36.12,0.42,290.59,556.31,313.36,0,56.39,3.11,1492.6,1220.89,196.72,761,3148304.38,7830519.57,918.03,367.63,164804.17,238251.09,187825.52,0,34228.59,717.06,91.79,247988.97,5580116.24,244339280.3,773713919.8,2935266.56,56568.48,35354273.88,56664312.81,41596613.51,0,4564906.72,353118.29,117206506.5,93367894.87,14731354.99,54795621.19
10/1/2018,-4.13,-66.97,2763.96,9133.34,34,1.23,159.93,471.02,300.19,0,54.74,3.35,1069.03,1218.27,248.93,800.23,3281752.85,8207087.55,838.76,1574.96,91884.56,215840.12,177803.79,0,33056.08,741.94,91.51,337677.39,4137191.53,277101196.6,774257532.7,2678679.61,162929.87,18805126.26,46016295.09,36934773.53,0,4290376.72,434357.67,110658976.7,105601926.1,20771363.89,66169593.26
