date,Coal (Brown) -  GWh,Coal (Black) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Battery (Discharging) -  GWh,Volume Weighted Price - AUD/MWh,Emissions Intensity - kgCO₂e/MWh,Total Generation - GWh,Rooftop Solar %,Total Solar - GWh,Total Solar %,Total Renewables - GWh,Renewables %
2018-01-01,3253.98,10135.59,1262.87,322.3,1089.19,976.94,71.18,798.95,2.94,107.54,766.64,17911.0,4.460666629445592,870.1300000000001,4.858076042655353,2936.26,16.393612863603373
2018-01-02,2947.4,9041.91,1044.25,250.87,937.0,964.36,64.91,668.77,3.43,85.88,767.96,15919.470000000001,4.200956438876419,733.68,4.608696143778655,2635.04,16.552309844486025
2018-01-03,2936.13,9470.52,1170.65,192.48,1114.8,1134.15,73.66,658.26,2.57,70.43,754.3,16750.649999999998,3.929757949691505,731.92,4.3695020790238,2980.87,17.795548232456653
2018-01-04,3053.17,8521.6,756.9,252.43,1403.75,872.94,80.89,559.41,3.33,75.07,757.22,15501.09,3.608842991041275,640.3,4.130677262050604,2916.99,18.817966994579088
2018-01-05,3214.9,9118.69,647.33,276.46,1510.16,1215.26,81.91,470.93,4.18,77.19,752.44,16535.64,2.847969597789986,552.84,3.3433238749755074,3278.26,19.82541951808337
2018-01-06,3236.59,9371.39,668.17,365.6,1939.74,1051.07,83.05,430.52,3.27,95.87,745.51,17146.13,2.5108872964336557,513.5699999999999,2.995253156251585,3504.38,20.438314651761065
2018-01-07,3298.98,9518.78,628.0,276.26,1823.36,1622.03,115.66,515.51,3.32,76.47,725.96,17798.579999999998,2.896354653011645,631.17,3.5461817740516377,4076.5599999999995,22.903849632948244
2018-01-08,3185.71,8864.12,722.69,252.37,1953.11,1636.34,161.2,656.43,3.62,86.16,701.05,17431.970000000005,3.7656673342140894,817.6299999999999,4.690405043147732,4407.08,25.28159467920148
2018-01-09,2648.85,8701.83,556.31,290.59,1492.6,1220.89,196.72,761.0,3.11,91.79,717.06,15868.789999999999,4.795576726391867,957.72,6.035242762680709,3671.21,23.134782173057935
2018-01-10,2763.96,9133.34,471.02,159.93,1069.03,1218.27,248.93,800.23,3.35,91.51,741.94,15864.710000000001,5.04408842014761,1049.16,6.613168472666693,3336.46,21.030702735820572
2018-01-11,2537.34,8914.46,610.29,208.18,1158.74,1171.79,324.65,913.85,4.42,93.02,721.28,15839.3,5.769510016225465,1238.5,7.819158674941444,3569.0299999999997,22.53275081600828
2018-01-12,2921.52,9488.8,608.44,218.01,1214.97,1228.91,368.47,975.59,3.97,88.73,729.04,17024.71,5.730435349559553,1344.06,7.894760028217808,3787.9400000000005,22.249659465565056
2019-01-01,2971.19,10303.61,962.05,411.97,1151.67,1135.05,370.71,1035.39,4.16,185.08,733.99,18341.64,5.645024109076397,1406.1000000000001,7.666162894921066,3692.82,20.133532225035495
2019-01-02,2771.89,8711.17,1047.32,205.32,745.17,1205.6,342.44,869.11,3.6,100.2,737.96,15898.02,5.4667813979350885,1211.55,7.620760321096588,3162.3199999999997,19.8912820590237
2019-01-03,3231.87,9347.22,1143.83,271.18,808.95,1169.34,347.78,834.38,5.04,109.19,752.96,17154.550000000003,4.863899082167704,1182.1599999999999,6.891232938200067,3160.45,18.42339204467619
2019-01-04,2595.7,8714.01,612.52,287.47,921.38,1232.57,346.94,716.05,4.67,84.19,735.94,15426.639999999998,4.641645880113882,1062.99,6.8906126026146985,3216.94,20.853147542173804
2019-01-05,2679.82,9143.14,708.93,361.57,1284.25,1478.57,299.43,588.42,5.17,83.52,723.02,16544.129999999997,3.5566693443535566,887.8499999999999,5.366555992971525,3650.67,22.066255523862548
2019-01-06,2978.58,9088.37,802.7,382.92,1636.51,1315.96,296.19,501.55,5.89,97.09,724.79,17002.78,2.949811736668945,797.74,4.691820984568406,3750.21,22.056451944917242
2019-01-07,2780.22,9348.24,841.25,373.25,1547.27,1731.04,358.52,617.16,5.88,76.67,699.04,17596.95,3.5071986906821917,975.68,5.544597217131377,4253.99,24.17458707332805
2019-01-08,2614.33,9012.59,930.68,426.6,1462.44,1703.66,449.24,797.36,7.11,87.83,684.32,17396.9,4.583345308646942,1246.6,7.165644453896958,4412.700000000001,25.364863855054637
2019-01-09,2378.82,7925.47,812.63,416.49,1208.46,1453.93,480.89,965.15,6.6,88.99,677.11,15641.839999999998,6.170309886816385,1446.04,9.24469244027557,4108.43,26.265643939587672
2019-01-10,2658.72,7951.1,892.98,387.26,971.75,1404.89,523.73,1135.74,6.21,95.21,688.63,15926.169999999998,7.131281406640769,1659.47,10.4197682179708,4036.11,25.34262788856329
2019-01-11,2663.5,8160.48,678.44,185.93,999.27,1590.73,616.18,1225.88,6.26,67.76,678.31,16120.41,7.6045212249564385,1842.06,11.42688058182143,4432.0599999999995,27.493469458903334
2019-01-12,2937.15,9082.35,615.21,188.45,992.86,1512.77,682.34,1368.35,6.73,63.68,694.71,17379.48,7.873365601272305,2050.69,11.799489973232802,4556.32,26.216664710336556
2020-01-01,3109.18,9512.58,856.27,180.18,1074.44,1431.45,568.58,1218.27,6.09,156.87,710.93,17950.950000000004,6.786660316027842,1786.85,9.954069283241274,4292.74,23.91372044376481
2020-01-02,2884.47,8541.23,843.78,187.0,1049.23,1212.45,528.4,1031.62,3.8,57.24,712.87,16278.18,6.33744067211445,1560.02,9.583503806936648,3821.7000000000003,23.47744035266842
2020-01-03,2903.09,8208.2,934.78,170.45,1068.16,1532.04,550.26,1093.93,4.88,44.8,690.15,16460.91,6.64562287261154,1644.19,9.988451428262472,4244.39,25.784661965832996
2020-01-04,2774.57,7606.62,730.56,180.13,1228.37,1448.64,483.78,902.86,5.14,38.3,688.16,15355.53,5.879705877947554,1386.6399999999999,9.030232105306686,4063.6499999999996,26.463756054007902
