date,battery_charging__gwh,pumps__gwh,exports__gwh,imports__gwh,coal_black__gwh,bioenergy_biomass__gwh,distillate__gwh,gas_ccgt__gwh,gas_ocgt__gwh,gas_waste_coal_mine__gwh,battery_discharging__gwh,hydro__gwh,wind__gwh,solar_utility__gwh,solar_rooftop__gwh
2018-01-01,0.0,-4.83,-330.1,21.5,4628.62,21.51,0.79,640.99,77.77,68.06,0.0,26.45,0.0,10.46,288.43
2018-02-01,0.0,-2.07,-331.0,13.87,4220.21,16.25,4.39,492.58,56.77,60.28,0.0,69.67,0.0,11.49,218.7
2018-03-01,0.0,-1.48,-427.81,3.47,4488.34,1.85,0.95,654.42,21.74,68.46,0.0,90.72,0.0,14.02,217.59
2018-04-01,0.0,-5.99,-511.42,0.11,4264.93,4.11,0.06,550.98,38.17,61.84,0.0,91.65,0.0,15.82,211.42
2018-05-01,0.0,-5.08,-538.61,2.19,4392.63,2.01,0.06,494.32,38.03,65.12,0.0,77.45,0.0,19.31,203.03
2018-06-01,0.0,-7.54,-558.28,0.2,4440.44,7.89,0.49,392.7,87.57,63.08,0.0,82.01,0.0,29.73,188.15
2018-07-01,0.0,-6.77,-378.34,1.83,4451.05,24.7,0.05,266.62,55.29,65.16,0.0,75.47,0.0,46.96,211.72
2018-08-01,0.0,-16.82,-441.31,2.0,4387.83,38.99,0.05,249.37,114.09,52.58,0.0,71.1,2.24,77.62,274.56
2018-09-01,0.0,-18.94,-493.87,0.01,4359.97,36.12,0.04,106.09,101.07,56.39,0.0,40.83,27.23,89.55,272.04
2018-10-01,0.0,-16.4,-368.67,3.72,4454.58,34.0,0.1,156.8,53.37,54.74,0.0,24.31,19.13,98.21,278.65
2018-11-01,0.0,-37.8,-161.68,48.67,4148.66,24.87,0.32,263.32,67.51,53.22,0.0,47.58,30.52,147.96,339.49
2018-12-01,0.0,-12.03,-354.62,11.42,4635.56,19.75,0.61,249.78,43.87,41.02,0.0,79.88,35.12,140.27,323.6
2019-01-01,0.0,-12.07,-405.05,9.57,4569.11,17.71,0.03,495.04,141.69,63.15,0.0,113.99,39.23,144.01,346.72
2019-02-01,0.0,-13.11,-255.29,24.1,4016.54,18.54,1.61,478.73,65.49,54.52,0.0,109.72,21.03,132.38,283.65
2019-03-01,0.0,-17.17,-397.01,8.18,4464.11,18.46,0.11,583.2,76.53,61.5,0.0,120.17,33.02,151.08,284.55
2019-04-01,0.0,-10.15,-467.2,1.08,4230.61,5.61,1.75,211.28,31.18,64.62,0.0,115.18,62.05,176.36,259.16
2019-05-01,0.0,-9.55,-374.58,4.63,4197.03,0.11,2.4,292.38,47.46,69.76,0.0,112.08,53.44,160.07,235.06
2019-06-01,0.0,-11.75,-363.9,8.17,4007.56,18.4,4.06,357.87,92.47,67.55,0.0,104.74,46.04,154.09,206.54
2019-07-01,0.0,-17.55,-335.6,12.0,4051.84,27.96,1.48,312.77,69.87,69.56,0.0,94.15,37.01,196.11,256.26
2019-08-01,0.0,-13.83,-564.59,3.05,4109.94,36.65,1.33,307.0,100.17,67.1,0.0,63.78,55.2,239.95,311.51
2019-09-01,0.0,-3.96,-654.65,0.29,3988.99,31.78,0.55,316.73,89.15,61.77,0.0,59.97,62.72,248.52,363.38
2019-10-01,0.0,-24.26,-547.62,1.49,4161.76,21.19,0.44,338.35,55.06,59.28,0.0,59.28,61.92,258.49,385.23
