date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1998-12-01,0.00,-5.59,0.00,0.00,2574.87,0.00,12.86,18.26,55.11,0.00,0.00,49.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2387283.04,0.00,13502.58,19838.43,48029.88,0.00,0.00,33.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,-40.62,0.00,0.00,3264.91,0.00,3.58,17.56,99.68,0.00,0.00,104.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3039010.79,0.00,3755.77,20728.25,86873.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-02-01,0.00,-19.44,0.00,0.00,2993.34,0.00,1.12,16.76,101.72,0.00,0.00,92.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2794084.90,0.00,1173.05,20367.80,87588.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-03-01,0.00,-53.84,0.00,0.00,3292.72,0.00,11.14,24.85,121.75,0.00,0.00,128.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3071842.16,0.00,11686.96,27518.41,104050.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-04-01,0.00,-15.20,0.00,0.00,3035.82,0.00,1.13,22.35,77.95,0.00,0.00,102.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2816290.84,0.00,1188.24,26853.68,67133.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-05-01,0.00,-19.77,0.00,0.00,3146.04,0.00,3.38,24.81,55.90,0.00,0.00,105.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2906493.63,0.00,3552.23,30006.26,48319.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-06-01,0.00,-16.59,0.00,0.00,3188.51,0.00,0.31,25.42,58.95,0.00,0.00,92.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2942015.24,0.00,327.48,30697.58,50908.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-07-01,0.00,-7.10,0.00,0.00,3285.23,0.00,0.00,25.95,70.19,0.00,0.00,66.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3050005.06,0.00,4.86,31387.71,61139.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-08-01,0.00,-33.67,0.00,0.00,3215.00,0.00,6.66,20.20,105.83,0.00,0.00,81.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3012132.15,0.00,6993.63,24025.06,91025.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-09-01,0.00,-3.54,0.00,0.00,3057.21,0.00,0.00,26.17,107.85,0.00,0.00,55.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2842148.05,0.00,0.00,31734.29,93446.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-10-01,0.00,-5.74,0.00,0.00,3239.07,0.00,5.61,26.22,158.21,0.00,0.00,64.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3005891.10,0.00,5887.99,31544.19,133450.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-11-01,0.00,-8.87,0.00,0.00,3175.32,0.00,2.82,18.89,135.26,0.00,0.00,73.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2944081.20,0.00,2965.01,22451.11,112609.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-12-01,0.00,-3.37,0.00,0.00,3308.17,0.00,0.13,22.85,159.75,0.00,0.00,74.42,0.00,0.00,0.00,0.00,0.00,33.00,22.05,16.00,0.00,0.00,3083770.53,0.00,131.57,27763.90,131306.38,0.00,0.00,33.42,0.00,67889.87,0.00,0.00,107024395.89,0.00,5676.93,680422.36,5349535.96,0.00,0.00,2342428.97,0.00,0.00,0.00
2000-01-01,0.00,-30.23,0.00,0.00,3394.57,0.00,15.96,24.95,151.81,0.00,0.00,81.45,0.00,0.00,0.00,0.00,0.00,40.00,24.17,17.00,0.00,0.00,3173351.51,0.00,16747.20,28244.56,129454.30,0.00,0.00,127.39,0.00,10984781.54,0.00,0.00,401813785.92,0.00,11262442.12,5246316.22,25716152.01,0.00,0.00,15748970.80,0.00,0.00,0.00
2000-02-01,0.00,-8.85,0.00,0.00,3197.97,0.00,3.77,25.43,141.77,0.00,0.00,91.16,0.00,0.00,0.00,0.00,0.00,31.00,23.60,17.00,0.00,0.00,2987656.58,0.00,3954.62,30275.63,121269.77,0.00,0.00,34.87,0.00,234060.03,0.00,0.00,108571842.29,0.00,229540.06,871445.97,4889265.13,0.00,0.00,3038612.05,0.00,0.00,0.00
2000-03-01,0.00,-52.76,0.00,0.00,3435.45,0.00,22.63,28.38,190.32,0.00,0.00,130.24,0.00,0.00,0.00,0.00,0.00,32.00,23.74,18.00,0.00,0.00,3216686.77,0.00,23758.42,33413.02,160776.30,0.00,0.00,68.87,0.00,4511065.88,0.00,0.00,224063932.21,0.00,2624765.17,2153503.73,14247544.72,0.00,0.00,9958596.94,0.00,0.00,0.00
